cat1,cat_id,trade_rows,sensitivity_units,rank,trade_row_share_pct,cumulative_trade_row_share_pct,segment
28,50006096,38,38,150,0.1267892295886023,83.88775816622736,Long tail: remaining 20% of trade rows
28,50006822,38,66,151,0.1267892295886023,84.01454739581595,Long tail: remaining 20% of trade rows
28,50008177,38,42,152,0.1267892295886023,84.14133662540455,Long tail: remaining 20% of trade rows
50008168,50010537,38,42,153,0.1267892295886023,84.26812585499314,Long tail: remaining 20% of trade rows
28,50024147,37,51,154,0.12345267091521804,84.39157852590836,Long tail: remaining 20% of trade rows
50008168,50010548,37,38,155,0.12345267091521804,84.51503119682357,Long tail: remaining 20% of trade rows
50008168,50010565,36,45,156,0.12011611224183377,84.6351473090654,Long tail: remaining 20% of trade rows
50014815,50014863,36,80,157,0.12011611224183377,84.75526342130723,Long tail: remaining 20% of trade rows
28,50013192,35,52,158,0.11677955356844949,84.87204297487568,Long tail: remaining 20% of trade rows
28,50024150,35,68,159,0.11677955356844949,84.98882252844413,Long tail: remaining 20% of trade rows
50022520,50012379,35,35,160,0.11677955356844949,85.10560208201258,Long tail: remaining 20% of trade rows
28,50008817,34,64,161,0.11344299489506524,85.21904507690765,Long tail: remaining 20% of trade rows
50014815,50006521,34,133,162,0.11344299489506524,85.33248807180271,Long tail: remaining 20% of trade rows
50014815,50012458,34,44,163,0.11344299489506524,85.44593106669778,Long tail: remaining 20% of trade rows
50014815,50012464,34,34,164,0.11344299489506524,85.55937406159285,Long tail: remaining 20% of trade rows
50014815,121364031,34,40,165,0.11344299489506524,85.67281705648792,Long tail: remaining 20% of trade rows
50022520,50011615,33,33,166,0.11010643622168097,85.7829234927096,Long tail: remaining 20% of trade rows
28,50023792,32,33,167,0.10676987754829668,85.8896933702579,Long tail: remaining 20% of trade rows
50014815,50012461,32,38,168,0.10676987754829668,85.9964632478062,Long tail: remaining 20% of trade rows
28,50016034,31,61,169,0.10343331887491242,86.09989656668111,Long tail: remaining 20% of trade rows
28,50016036,31,157,170,0.10343331887491242,86.20332988555602,Long tail: remaining 20% of trade rows
28,50023660,31,42,171,0.10343331887491242,86.30676320443092,Long tail: remaining 20% of trade rows
50014815,121450025,31,31,172,0.10343331887491242,86.41019652330583,Long tail: remaining 20% of trade rows
28,50006094,30,34,173,0.10009676020152813,86.51029328350735,Long tail: remaining 20% of trade rows
28,50013200,30,44,174,0.10009676020152813,86.61039004370888,Long tail: remaining 20% of trade rows
38,50018855,30,55,175,0.10009676020152813,86.7104868039104,Long tail: remaining 20% of trade rows
50008168,121450022,30,36,176,0.10009676020152813,86.81058356411192,Long tail: remaining 20% of trade rows
50014815,50012460,30,35,177,0.10009676020152813,86.91068032431345,Long tail: remaining 20% of trade rows
50014815,50012471,30,103,178,0.10009676020152813,87.01077708451497,Long tail: remaining 20% of trade rows
50022520,50023632,30,34,179,0.10009676020152813,87.1108738447165,Long tail: remaining 20% of trade rows
122650008,50012371,30,31,180,0.10009676020152813,87.21097060491802,Long tail: remaining 20% of trade rows
28,50008424,29,29,181,0.09676020152814387,87.30773080644616,Long tail: remaining 20% of trade rows
28,50014250,29,52,182,0.09676020152814387,87.4044910079743,Long tail: remaining 20% of trade rows
28,122616024,29,49,183,0.09676020152814387,87.50125120950244,Long tail: remaining 20% of trade rows
50008168,50132021,29,42,184,0.09676020152814387,87.59801141103058,Long tail: remaining 20% of trade rows
50008168,50007013,28,42,185,0.0934236428547596,87.69143505388534,Long tail: remaining 20% of trade rows
50008168,50024787,28,28,186,0.0934236428547596,87.7848586967401,Long tail: remaining 20% of trade rows
28,50013190,27,31,187,0.09008708418137533,87.87494578092148,Long tail: remaining 20% of trade rows
28,121398041,27,60,188,0.09008708418137533,87.96503286510286,Long tail: remaining 20% of trade rows
50014815,50014274,27,34,189,0.09008708418137533,88.05511994928423,Long tail: remaining 20% of trade rows
50014815,121470030,27,62,190,0.09008708418137533,88.14520703346561,Long tail: remaining 20% of trade rows
28,203320,26,48,191,0.08675052550799106,88.2319575589736,Long tail: remaining 20% of trade rows
50008168,121484062,26,45,192,0.08675052550799106,88.3187080844816,Long tail: remaining 20% of trade rows
50014815,50012838,26,26,193,0.08675052550799106,88.4054586099896,Long tail: remaining 20% of trade rows
50022520,50023612,26,26,194,0.08675052550799106,88.49220913549759,Long tail: remaining 20% of trade rows
28,50012428,25,25,195,0.08341396683460678,88.5756231023322,Long tail: remaining 20% of trade rows
28,50012476,25,25,196,0.08341396683460678,88.65903706916681,Long tail: remaining 20% of trade rows
28,50016243,25,46,197,0.08341396683460678,88.74245103600143,Long tail: remaining 20% of trade rows
38,50018202,25,76,198,0.08341396683460678,88.82586500283604,Long tail: remaining 20% of trade rows
50014815,50014275,25,40,199,0.08341396683460678,88.90927896967065,Long tail: remaining 20% of trade rows
50014815,50016240,25,150,200,0.08341396683460678,88.99269293650526,Long tail: remaining 20% of trade rows
28,203319,24,24,201,0.08007740816122252,89.07277034466648,Long tail: remaining 20% of trade rows
28,50005953,24,137,202,0.08007740816122252,89.1528477528277,Long tail: remaining 20% of trade rows
28,50013874,24,24,203,0.08007740816122252,89.23292516098891,Long tail: remaining 20% of trade rows
28,50024631,24,38,204,0.08007740816122252,89.31300256915013,Long tail: remaining 20% of trade rows
50008168,121402021,24,27,205,0.08007740816122252,89.39307997731134,Long tail: remaining 20% of trade rows
50014815,50006041,24,24,206,0.08007740816122252,89.47315738547256,Long tail: remaining 20% of trade rows
50014815,50009549,24,24,207,0.08007740816122252,89.55323479363378,Long tail: remaining 20% of trade rows
50022520,50011819,24,31,208,0.08007740816122252,89.633312201795,Long tail: remaining 20% of trade rows
50022520,50012387,24,25,209,0.08007740816122252,89.71338960995621,Long tail: remaining 20% of trade rows
50022520,50026473,24,26,210,0.08007740816122252,89.79346701811743,Long tail: remaining 20% of trade rows
28,50008705,23,23,211,0.07674084948783824,89.87020786760526,Long tail: remaining 20% of trade rows
28,50016454,23,149,212,0.07674084948783824,89.9469487170931,Long tail: remaining 20% of trade rows
28,50023789,23,23,213,0.07674084948783824,90.02368956658093,Long tail: remaining 20% of trade rows
38,50018854,23,45,214,0.07674084948783824,90.10043041606876,Long tail: remaining 20% of trade rows
50014815,50012730,23,34,215,0.07674084948783824,90.1771712655566,Long tail: remaining 20% of trade rows
50014815,50013875,23,26,216,0.07674084948783824,90.25391211504443,Long tail: remaining 20% of trade rows
28,50006100,22,22,217,0.07340429081445397,90.32731640585888,Long tail: remaining 20% of trade rows
28,50013177,22,22,218,0.07340429081445397,90.40072069667333,Long tail: remaining 20% of trade rows
28,50023732,22,31,219,0.07340429081445397,90.47412498748778,Long tail: remaining 20% of trade rows
28,50024439,22,139,220,0.07340429081445397,90.54752927830224,Long tail: remaining 20% of trade rows
50014815,50012548,22,49,221,0.07340429081445397,90.62093356911669,Long tail: remaining 20% of trade rows
50014815,50234023,22,34,222,0.07340429081445397,90.69433785993114,Long tail: remaining 20% of trade rows
28,50023536,21,48,223,0.0700677321410697,90.76440559207221,Long tail: remaining 20% of trade rows
28,50023640,21,43,224,0.0700677321410697,90.83447332421328,Long tail: remaining 20% of trade rows
28,50023645,21,22,225,0.0700677321410697,90.90454105635435,Long tail: remaining 20% of trade rows
50008168,50016468,21,58,226,0.0700677321410697,90.97460878849542,Long tail: remaining 20% of trade rows
50008168,121406022,21,25,227,0.0700677321410697,91.04467652063649,Long tail: remaining 20% of trade rows
50022520,50006023,21,60,228,0.0700677321410697,91.11474425277756,Long tail: remaining 20% of trade rows
50022520,50012376,21,22,229,0.0700677321410697,91.18481198491862,Long tail: remaining 20% of trade rows
28,251630,20,22,230,0.06673117346768542,91.25154315838631,Long tail: remaining 20% of trade rows
28,50008859,20,22,231,0.06673117346768542,91.318274331854,Long tail: remaining 20% of trade rows
28,50008860,20,20,232,0.06673117346768542,91.38500550532169,Long tail: remaining 20% of trade rows
28,50016457,20,24,233,0.06673117346768542,91.45173667878937,Long tail: remaining 20% of trade rows
38,50014831,20,39,234,0.06673117346768542,91.51846785225706,Long tail: remaining 20% of trade rows
50014815,50005987,20,91,235,0.06673117346768542,91.58519902572475,Long tail: remaining 20% of trade rows
50022520,50012383,20,20,236,0.06673117346768542,91.65193019919244,Long tail: remaining 20% of trade rows
50022520,50014866,20,26,237,0.06673117346768542,91.71866137266012,Long tail: remaining 20% of trade rows
50022520,121398035,20,21,238,0.06673117346768542,91.78539254612781,Long tail: remaining 20% of trade rows
28,50006823,19,20,239,0.06339461479430115,91.84878716092211,Long tail: remaining 20% of trade rows
50008168,50014865,19,20,240,0.06339461479430115,91.91218177571642,Long tail: remaining 20% of trade rows
50008168,50140021,19,20,241,0.06339461479430115,91.97557639051072,Long tail: remaining 20% of trade rows
50014815,50004457,19,33,242,0.06339461479430115,92.03897100530503,Long tail: remaining 20% of trade rows
50014815,50009548,19,50,243,0.06339461479430115,92.10236562009933,Long tail: remaining 20% of trade rows
50022520,50006026,19,41,244,0.06339461479430115,92.16576023489364,Long tail: remaining 20% of trade rows
50022520,50012395,19,19,245,0.06339461479430115,92.22915484968794,Long tail: remaining 20% of trade rows
50022520,50017202,19,19,246,0.06339461479430115,92.29254946448225,Long tail: remaining 20% of trade rows
50014815,50006099,18,18,247,0.060058056120916886,92.35260752060317,Long tail: remaining 20% of trade rows
50014815,50012436,18,18,248,0.060058056120916886,92.4126655767241,Long tail: remaining 20% of trade rows
50014815,50012439,18,18,249,0.060058056120916886,92.47272363284502,Long tail: remaining 20% of trade rows
50014815,50012455,18,20,250,0.060058056120916886,92.53278168896594,Long tail: remaining 20% of trade rows
50014815,50015992,18,19,251,0.060058056120916886,92.59283974508686,Long tail: remaining 20% of trade rows
28,50023644,17,26,252,0.05672149744753262,92.64956124253439,Long tail: remaining 20% of trade rows
28,50023692,17,18,253,0.05672149744753262,92.70628273998192,Long tail: remaining 20% of trade rows
50014815,50009544,17,17,254,0.05672149744753262,92.76300423742944,Long tail: remaining 20% of trade rows
50014815,50012478,17,17,255,0.05672149744753262,92.81972573487697,Long tail: remaining 20% of trade rows
50014815,50014867,17,17,256,0.05672149744753262,92.8764472323245,Long tail: remaining 20% of trade rows
50022520,50011836,17,17,257,0.05672149744753262,92.93316872977202,Long tail: remaining 20% of trade rows
50022520,50015579,17,74,258,0.05672149744753262,92.98989022721955,Long tail: remaining 20% of trade rows
50022520,50015914,17,40,259,0.05672149744753262,93.04661172466707,Long tail: remaining 20% of trade rows
28,50023777,16,16,260,0.05338493877414834,93.09999666344122,Long tail: remaining 20% of trade rows
38,50018821,16,21,261,0.05338493877414834,93.15338160221536,Long tail: remaining 20% of trade rows
50014815,50008721,16,16,262,0.05338493877414834,93.2067665409895,Long tail: remaining 20% of trade rows
50014815,50008727,16,16,263,0.05338493877414834,93.26015147976365,Long tail: remaining 20% of trade rows
50014815,50018823,16,17,264,0.05338493877414834,93.3135364185378,Long tail: remaining 20% of trade rows
28,50013178,15,15,265,0.05004838010076407,93.36358479863856,Long tail: remaining 20% of trade rows
28,50019308,15,40,266,0.05004838010076407,93.41363317873932,Long tail: remaining 20% of trade rows
28,50023457,15,15,267,0.05004838010076407,93.46368155884008,Long tail: remaining 20% of trade rows
